1;04B8E69A983C80;08.01.2015 7:45;;;;;;
2;0452E99A983C81;08.01.2015 7:55;;;;;;
3;0452E99A983C81;08.01.2015 12:30;;;;;;
4;04B8E69A983C80;08.01.2015 12:40;;;;;;
5;04B8E69A983C80;08.01.2015 13:15;;;;;;
6;04B8E69A983C80;08.01.2015 14:15;;;;;;
7;04B8E69A983C80;08.01.2015 14:35;;;;;;
8;0452E99A983C81;08.01.2015 13:17;;;;;;
9;0452E99A983C81;08.01.2015 17:45;;;;;;
10;04B8E69A983C80;08.01.2015 18:15;;;;;;
11;04B8E69A983C80;09.01.2015 7:51;;;;;;
12;0452E99A983C81;09.01.2015 7:15;;;;;;
13;0452E99A983C81;09.01.2015 12:30;;;;;;
14;04B8E69A983C80;09.01.2015 12:40;;;;;;
15;04B8E69A983C80;09.01.2015 13:09;;;;;;
18;0452E99A983C81;09.01.2015 13:18;;;;;;
19;0452E99A983C81;09.01.2015 17:55;;;;;;
20;04B8E69A983C80;09.01.2015 18:18;;;;;;
21;04B8E69A983C80;12.01.2015 7:45;;;;;;
22;0452E99A983C81;12.01.2015 8:15;;;;;;
23;0452E99A983C81;12.01.2015 12:30;;;;;;
24;04B8E69A983C80;12.01.2015 12:32;;;;;;
25;04B8E69A983C80;12.01.2015 12:58;;;;;;
26;0452E99A983C81;12.01.2015 13:05;;;;;;
27;0452E99A983C81;12.01.2015 18:18;;;;;;
28;04B8E69A983C80;12.01.2015 19:20;;;;;;